author_id,author_display_name,first_retraction_year,first_category,first_position,n_retractions,n_categories,works_count,cited_by_count,first_pub_year,last_pub_year,career_span,last_country,last_institution,country,source_id,rw_journal,rw_publisher
A5000000833,Betty Van Roy,2020.0,EDITORIAL_COMPROMISE,middle,1,1,27.0,1272.0,2004.0,2023.0,19.0,NO,Akershus University Hospital,NO,S4306504555,BMJ Paediatrics Open,Springer - Biomed Central (BMC)
A5000001550,Monami Chakraborty,2017.0,AUTHOR_MISCONDUCT,middle,2,1,3.0,61.0,2014.0,2015.0,1.0,IN,Indian Institute of Technology Kharagpur,IN,S202381698,PLoS One,PLoS
A5000006808,Marieke J. Krimphove,2020.0,HONEST_ERROR,middle,1,1,57.0,808.0,1975.0,2023.0,48.0,DE,Goethe University Frankfurt,US,S2735282665,JNCI Cancer Spectrum,Oxford University Press
A5000009798,Inna Slutsky,2017.0,HONEST_ERROR,middle,1,1,105.0,4007.0,1997.0,2026.0,29.0,IL,Tel Aviv University,IL,S183989336,Rheumatology,Oxford University Press
A5000011273,Gunjan Goel,2015.0,HONEST_ERROR,middle,1,1,129.0,3884.0,1985.0,2026.0,41.0,IN,Central University of Haryana,IN,S169733112,Journal of Basic Microbiology,Wiley
A5000011467,Yinyin Qin,2022.0,AUTHOR_MISCONDUCT,middle,1,1,16.0,325.0,2016.0,2025.0,9.0,CN,First Affiliated Hospital of Guangzhou Medical University,CN,S4210208883,International Journal of Oncology,Spandidos
A5000013421,Wenge Zhang,2020.0,HONEST_ERROR,first,1,1,178.0,2089.0,1996.0,2026.0,30.0,CN,Yellow River Institute of Hydraulic Research,CN,S36069537,Advanced Synthesis and Catalysis,Wiley
A5000016090,L Wang,2020.0,HONEST_ERROR,middle,1,1,8.0,469.0,2014.0,2024.0,10.0,CN,Fujian Medical University,CN,S4210239318,Oncogenesis,Springer - Nature Publishing Group
A5000018403,S. Saravanan,2022.0,EDITORIAL_COMPROMISE,first,1,1,48.0,247.0,2003.0,2026.0,23.0,IN,Devi Ahilya Vishwavidyalaya,IN,S48031226,Journal of Ambient Intelligence and Humanized Computing,Springer - Nature Publishing Group
A5000021347,Judit Mihaly,2019.0,AUTHOR_MISCONDUCT,middle,1,1,17.0,843.0,2002.0,2019.0,17.0,,,AT,S140251998,The Journal of Biological Chemistry,American Society for Biochemistry and Molecular Biology (ASBMB)
A5000022149,Mirza Muhammad Faran Ashraf Baig,2021.0,AUTHOR_MISCONDUCT,middle,3,2,127.0,2570.0,1975.0,2026.0,51.0,,,CN,S161954266,Journal of Controlled Release: Official Journal of the Controlled Release Society,Elsevier
A5000023443,Yi-Li Xu,2019.0,EDITORIAL_COMPROMISE,last,1,1,14.0,308.0,2004.0,2019.0,15.0,CN,Huawei Technologies (China),CN,S163644703,IEEE Transactions on Electromagnetic Compatibility,IEEE: Institute of Electrical and Electronics Engineers
A5000026943,Wu Xm,2022.0,AUTHOR_MISCONDUCT,middle,1,1,3.0,38.0,2018.0,2020.0,2.0,,,,S4306525036,European Review for Medical and Pharmacological Sciences,Verduci Editore
A5000027418,Ci̇had Tatar,2020.0,AUTHOR_MISCONDUCT,middle,1,1,88.0,571.0,2013.0,2026.0,13.0,TR,Taksim German Hospital,,S4210211607,ABCD: Arquivos Brasileiros de Cirurgia Digestiva,Colegio Brasileiro de Cirurgia Digestiva
A5000029097,Da Fu,2021.0,AUTHOR_MISCONDUCT,middle,3,1,229.0,7277.0,1990.0,2025.0,35.0,CN,Central South University of Forestry and Technology,CN,S202381698,PLoS One,PLoS
A5000033340,Andy Ng,2017.0,AUTHOR_MISCONDUCT,first,1,1,71.0,2433.0,2000.0,2026.0,26.0,CA,McGill Genome Centre,CA,,Microfluidics for Biologists Fundamentals and Applications,Springer
A5000034150,Juan Tian,2022.0,AUTHOR_MISCONDUCT,middle,1,1,154.0,2139.0,1990.0,2026.0,36.0,CN,Central South University,CN,S2764969478,Molecular Therapy - Nucleic Acids,Elsevier - Cell Press
A5000036218,Jan Pěnčík,2019.0,AUTHOR_MISCONDUCT,middle,1,1,30.0,862.0,2009.0,2025.0,16.0,US,Io Therapeutics (United States),AT,S185208586,Cell Death & Disease,Springer - Nature Publishing Group
A5000037364,Marie Martel,2022.0,AUTHOR_MISCONDUCT,middle,1,1,40.0,772.0,2014.0,2025.0,11.0,GB,Royal Holloway University of London,,S4210237251,GeroScience,Springer
A5000037708,Jing Jiao,2022.0,UNCONFIRMED_CONCERNS,middle,1,1,20.0,138.0,2008.0,2025.0,17.0,CN,Qingdao Agricultural University,CN,S36980176,Computational and Mathematical Methods in Medicine,Hindawi
A5000039918,Luís Tavares,2021.0,HONEST_ERROR,middle,1,1,161.0,3585.0,1987.0,2025.0,38.0,NO,Unifor,PT,S202381698,PLoS One,PLoS
A5000044079,Wei Che,2020.0,EDITORIAL_COMPROMISE,last,1,1,6.0,10.0,2009.0,2020.0,11.0,CN,Huazhong University of Science and Technology,CN,S186357190,Future Generation Computer Systems,Elsevier
A5000044234,Qiong Wang,2021.0,AUTHOR_MISCONDUCT,middle,1,1,493.0,8250.0,1988.0,2026.0,38.0,CN,Nanjing Agricultural University,CN,S2481244646,RSC Advances,Royal Society of Chemistry (RSC)
A5000047384,Mircea Eremia,2018.0,AUTHOR_MISCONDUCT,middle,2,1,141.0,1557.0,1978.0,2024.0,46.0,RO,Universitatea Națională de Știință și Tehnologie Politehnica București,RO,S4306400562,2018 International Conference on Development and Application Systems (DAS),IEEE: Institute of Electrical and Electronics Engineers
A5000047734,А. П. Васильев,2020.0,AUTHOR_MISCONDUCT,middle,1,1,178.0,1776.0,1962.0,2024.0,62.0,RU,Ioffe Institute,RU,S107898947,Superlattices and Microstructures,Elsevier
A5000054936,Kristin A. Kullgren,2015.0,HONEST_ERROR,first,1,1,38.0,320.0,2001.0,2026.0,25.0,US,University of Michigan,US,S2764851407,Clinical Practice in Pediatric Psychology,American Psychological Association (APA)
A5000060266,Jaemin Jung,2015.0,AUTHOR_MISCONDUCT,last,2,1,243.0,3850.0,1991.0,2025.0,34.0,KR,Korea Advanced Institute of Science and Technology,KR,S30594836,2015 48th Hawaii International Conference on System Sciences,IEEE: Institute of Electrical and Electronics Engineers
A5000066709,Yifang Shui,2022.0,HONEST_ERROR,middle,1,1,19.0,331.0,2016.0,2026.0,10.0,CN,First Affiliated Hospital of Zhengzhou University,CN,S43643205,Journal of Cellular Physiology,Wiley
A5000067270,Zhifeng Deng,2018.0,AUTHOR_MISCONDUCT,middle,1,1,65.0,1933.0,2005.0,2025.0,20.0,CN,Guangdong Medical College,CN,S61994691,Cancer Biomarkers,IOS Press (bought by Sage November 2023)
A5000073914,Alexandra McCarthy,2020.0,EDITORIAL_COMPROMISE,middle,1,1,266.0,4816.0,1997.0,2026.0,29.0,AU,Griffith University,NZ,S197070928,Integrative Cancer Therapies,SAGE Publications
A5000074603,Yi Yang,2021.0,AUTHOR_MISCONDUCT,middle,1,1,1794.0,8768.0,1987.0,2026.0,39.0,CN,BGI Group (China),,S145476921,ACS Nano,American Chemical Society (ACS)
A5000076330,Jody Albright,2021.0,HONEST_ERROR,middle,1,1,41.0,290.0,2014.0,2026.0,12.0,US,University of North Carolina at Chapel Hill,US,S65932378,Genetics,Oxford University Press
A5000077495,Junlong Hu,2022.0,HONEST_ERROR,middle,1,1,39.0,905.0,2014.0,2025.0,11.0,CN,Xiamen University,CN,S43643205,Journal of Cellular Physiology,Wiley
A5000078250,Heba Samaha,2019.0,UNCONFIRMED_CONCERNS,first,1,1,29.0,235.0,2015.0,2025.0,10.0,AE,Oasis Hospital,US,S137773608,Nature,Springer - Nature Publishing Group
A5000084950,Sergio Acevedo,2018.0,AUTHOR_MISCONDUCT,first,1,1,14.0,170.0,1969.0,2024.0,55.0,CO,Universidad Nacional de Colombia,CO,S61095757,International Journal of Chemical Reactor Engineering,De Gruyter
A5000085138,Jie Zhu,2022.0,EDITORIAL_COMPROMISE,first,1,1,26.0,383.0,2004.0,2025.0,21.0,CN,China National Petroleum Corporation (China),CN,S110206669,Multimedia Tools and Applications,Springer
A5000089892,C. Cotea,2017.0,EDITORIAL_COMPROMISE,middle,1,1,36.0,14.0,1974.0,2018.0,44.0,RO,"""Ion Ionescu de la Brad"" Iasi University of Life Sciences",RO,S9336330,Annals of Anatomy - Anatomischer Anzeiger,Elsevier
A5000090129,Gilles Gonçalves,2015.0,AUTHOR_MISCONDUCT,middle,1,1,152.0,1147.0,1988.0,2025.0,37.0,FR,Université d'Artois,FR,S4210212515,Journal of Mathematical Modelling and Algorithms in Operations Research,Springer
A5000093256,Abdullah Watman Mohammed,2022.0,EDITORIAL_COMPROMISE,last,1,1,3.0,2.0,2014.0,2022.0,8.0,IQ,Koya University,IQ,S2764818521,Applied Nanoscience,Springer
A5000095150,Toru Matsumoto,2020.0,AUTHOR_MISCONDUCT,middle,1,1,310.0,3040.0,1947.0,2025.0,78.0,JP,The University of Kitakyushu,JP,S132505712,Experimental Cell Research,Elsevier
A5000095356,Genaro Vázquez‐Victorio,2017.0,AUTHOR_MISCONDUCT,middle,2,1,52.0,804.0,2010.0,2026.0,16.0,MX,Universidad Autónoma de la Ciudad de México,MX,S128018148,Free Radical Biology & Medicine,Elsevier
A5000097444,Mahmoud K. AL‐Omiri,2020.0,AUTHOR_MISCONDUCT,first,1,1,107.0,3154.0,1958.0,2026.0,68.0,JO,University of Jordan,JO,S136026792,The Journal of Prosthetic Dentistry,Elsevier
A5000101136,Angelos G. Rigopoulos,2019.0,HONEST_ERROR,middle,1,1,122.0,8311.0,1998.0,2026.0,28.0,GR,Mitera Hospital,DE,S154908413,Herz,Springer
